2022-08-20 07:53:35.639  INFO [authorizationService,,] 8812 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : Starting AuthorizationMicroserviceApplication using Java 1.8.0_181 on LTIN264352 with PID 8812 (C:\Workspace\microservices\Authorization-Microservice\target\classes started by 889068 in C:\Workspace\microservices\Authorization-Microservice)
2022-08-20 07:53:35.712  INFO [authorizationService,,] 8812 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-08-20 07:53:36.123  INFO [authorizationService,,] 8812 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-08-20 07:53:36.126  INFO [authorizationService,,] 8812 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-08-20 07:53:43.393  INFO [authorizationService,,] 8812 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-08-20 07:53:43.839  INFO [authorizationService,,] 8812 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 408 ms. Found 1 JPA repository interfaces.
2022-08-20 07:53:46.984  INFO [authorizationService,,] 8812 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=528b1acf-83df-34cd-88dd-6d1010a2cef8
2022-08-20 07:53:54.714  INFO [authorizationService,,] 8812 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9090 (http)
2022-08-20 07:53:55.013  INFO [authorizationService,,] 8812 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-08-20 07:53:55.016  INFO [authorizationService,,] 8812 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-08-20 07:53:56.129  INFO [authorizationService,,] 8812 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-08-20 07:53:56.132  INFO [authorizationService,,] 8812 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 20002 ms
2022-08-20 07:53:56.797  INFO [authorizationService,,] 8812 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-08-20 07:53:58.527  INFO [authorizationService,,] 8812 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-08-20 07:53:58.553  INFO [authorizationService,,] 8812 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2022-08-20 07:54:01.010  INFO [authorizationService,,] 8812 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-08-20 07:54:01.461  INFO [authorizationService,,] 8812 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-08-20 07:54:02.887  INFO [authorizationService,,] 8812 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-08-20 07:54:04.198  INFO [authorizationService,,] 8812 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-08-20 07:54:07.924  INFO [authorizationService,,] 8812 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-08-20 07:54:08.006  INFO [authorizationService,,] 8812 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-08-20 07:54:17.612  INFO [authorizationService,,] 8812 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2022-08-20 07:54:19.403  WARN [authorizationService,,] 8812 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-08-20 07:54:25.308  INFO [authorizationService,,] 8812 --- [restartedMain] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@8a0a8c0, org.springframework.security.web.context.SecurityContextPersistenceFilter@63b3cf70, org.springframework.security.web.header.HeaderWriterFilter@363e2561, org.springframework.security.web.authentication.logout.LogoutFilter@687c45ca, com.cognizant.filter.JwtFilter@3edf7f78, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1a4e4547, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@45939dd6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6a8ffb34, org.springframework.security.web.session.SessionManagementFilter@3bc818cf, org.springframework.security.web.access.ExceptionTranslationFilter@3c2b6a24, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@13769a9b]
